Match_addr,ARC_Street,File_,Directory,Full_Link,Quick_Link,Date_,Location,Back_of_Sh,Job_Catego,Hyperlink,GlobalID,Leak_Numbe,Leak_Num_Y,X,Y
200 UNION AVE,200 Union Ave,Page0009.tif,S:\WORKSHEETS\01-11-2011_thru_01-17-2011,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0009.tif,Page0009.tif,1/12/2011,200 Union Ave,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0010.tif,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0009.tif,{AC6FBECE-E81A-400D-A637-73C7FA3EBA27},010,2011,-76.14800000000,43.05620000000
1205 W FAYETTE ST,1205 West Fayette St,Page0021.tif,S:\WORKSHEETS\01-11-2011_thru_01-17-2011,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0021.tif,Page0021.tif,1/14/2011,1205 West Fayette St,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0022.tif,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0021.tif,{81B9CEE6-0E6D-45F9-A716-D4A029368E5A},012,2011,-76.17560000000,43.04670000000
1003 JAMESVILLE AVE,1003 Jamesville Ave,Page0023.tif,S:\WORKSHEETS\01-11-2011_thru_01-17-2011,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0023.tif,Page0023.tif,1/14/2011,1003 Jamesville Ave,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0024.tif,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0023.tif,{988D5DB1-2FB5-4B7A-B483-F55C3A9C2449},013,2011,-76.12890000000,43.01690000000
PALMER AVE & CHENEY ST,Palmer Ave & Cheney St,Page0027.tif,S:\WORKSHEETS\01-11-2011_thru_01-17-2011,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0027.tif,Page0027.tif,1/14/2011,Palmer Ave & Cheney St,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0027.tif,{22D6E29A-7681-4ED0-8E5E-F01FC08CC361},014,2011,-76.16230000000,43.03000000000
2100 E FAYETTE ST,2100 East Fayette St,Page0031.tif,S:\WORKSHEETS\01-11-2011_thru_01-17-2011,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0031.tif,Page0031.tif,1/16/2011,2100 East Fayette St,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0031.tif,{FE856929-E8A2-4166-92F3-548651C94CB9},016,2011,-76.11370000000,43.04810000000
206 BUTTERNUT ST,206 Butternut St,Page0035.tif,S:\WORKSHEETS\01-11-2011_thru_01-17-2011,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0035.tif,Page0035.tif,1/17/2011,206 Butternut St,S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0036.tif,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0035.tif,{8795A2FB-A56C-43E1-8940-89D0C1483B09},018,2011,-76.15190000000,43.05770000000
104 CROLY ST,104 Croly St,Page0003.tif,S:\WORKSHEETS\01-12-2011_thru_01-23-2011,S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0003.tif,Page0003.tif,1/23/2011,104 Croly St,S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0004.tif,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0003.tif,{93B7C44A-8765-46DC-8B55-73FA1A480705},023,2011,-76.11290000000,43.05040000000
169 MARSHALL ST,169 Marshal St,Page0009.tif,S:\WORKSHEETS\01-12-2011_thru_01-23-2011,S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0009.tif,Page0009.tif,1/21/2011,169 Marshal St,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0009.tif,{3944F9EA-0AFF-46C7-A2D6-8AC9C2F8366A},022,2011,-76.13520000000,43.04170000000
200 UNION AVE,200 Union Ave,Page0013.tif,S:\WORKSHEETS\01-12-2011_thru_01-23-2011,S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0013.tif,Page0013.tif,1/18/2011,200 Union Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0013.tif,{62600704-EECA-4307-B0F5-E6AA3AC11578},010,2011,-76.14800000000,43.05620000000
356 NICHOLS AVE,356 Nicholas Ave,Page0025.tif,S:\WORKSHEETS\01-12-2011_thru_01-23-2011,S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0025.tif,Page0025.tif,1/20/2011,356 Nicholas Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0025.tif,{8FBBD3AB-4125-4902-929E-2BC5B5B4FA6D},020,2011,-76.10350000000,43.06280000000
200 UNION AVE,200 Union Ave,Page0003.tif,S:\WORKSHEETS\01-24-2011_thru_01-30-2011,S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0003.tif,Page0003.tif,1/24/2011,200 Union Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0003.tif,{F3AF8A84-18AD-4EDE-A68A-4062DF264A13},,2011,-76.14800000000,43.05620000000
634 RICHMOND AVE,634 Richmond Ave,Page0013.tif,S:\WORKSHEETS\01-24-2011_thru_01-30-2011,S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0013.tif,Page0013.tif,1/26/2011,634 Richmond Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0013.tif,{B385A8C9-D15E-466F-A611-F9D2DC4B049B},027,2011,-76.17680000000,43.05030000000
1559 LEMOYNE AVE,1559 LeMoyne Ave,Page0015.tif,S:\WORKSHEETS\01-24-2011_thru_01-30-2011,S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0015.tif,Page0015.tif,1/26/2011,1559 LeMoyne Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0015.tif,{5438F01B-39B3-4D08-B578-DF20B9A92DD7},030,2011,-76.14910000000,43.08310000000
313 SEELEY RD,313 Seeley Rd,Page0019.tif,S:\WORKSHEETS\01-24-2011_thru_01-30-2011,S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0019.tif,Page0019.tif,1/26/2011,313 Seeley Rd,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0019.tif,{FD75C200-825E-4C7C-8004-9D8A809A65C8},026,2011,-76.10380000000,43.05120000000
543 CUMBERLAND AVE,543 Cumberland Ave,Page0025.tif,S:\WORKSHEETS\01-24-2011_thru_01-30-2011,S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0025.tif,Page0025.tif,1/27/2011,543 Cumberland Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0025.tif,{40C249B8-F089-4488-B725-B0D39D1085A8},024,2011,-76.11260000000,43.03620000000
