"","Status","Score","Match_type","Side","Match_addr","ARC_Street","File_","Directory","Full_Link","Quick_Link","Date_","Location","Back_of_Sh","Job_Catego","Hyperlink","Leak_Numbe","Leak_Num_Y","Leak_Class","POINT_X","POINT_Y","lon","lat"
"1","M",100,"A",NA,"CRAWFORD AVE & SHERBOURNE RD","Crawford Ave & Sherbourne Rd","Page0003.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0003.tif","Page0003.tif",2011-01-11,"Crawford Ave & Sherbourne Rd","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0004.tif","Dig Gate Box","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0003.tif",NA,NA,0,-8472533.1571,5316853.1866,-76.1100603023235,43.0320613587013
"2","M",100,"A","L","711 W SENECA TPKE","711 West Seneca Tpk","Page0005.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0005.tif","Page0005.tif",2011-01-12,"711 West Seneca Tpk","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0006.tif","Repair/Hook Up Service","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0005.tif","299","2010",0,-8478011.6231,5312465.1317,-76.1592741997368,43.003240727335
"3","M",100,"A","R","110 SCHULER ST","110 Schuler St","Page0011.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0011.tif","Page0011.tif",2011-01-12,"110 Schuler St","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0012.tif","Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0011.tif",NA,NA,0,-8474114.6664,5321094.9265,-76.1242672420852,43.0599081383255
"4","M",100,"A","R","1216 HAWLEY AVE","1216-1218 Hawley Ave","Page0013.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0013.tif","Page0013.tif",2011-01-12,"1216-1218 Hawley Ave","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0014.tif","Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0013.tif",NA,NA,0,-8474385.4749,5320415.933,-76.1266999562314,43.0554514346691
"5","M",100,"A","L","1433 BURNET AVE","1433 Burnet Ave","Page0017.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0017.tif","Page0017.tif",2011-01-13,"1433 Burnet Ave","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0018.tif","Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0017.tif",NA,NA,0,-8473477.6703,5320388.6384,-76.1185450087596,43.0552722745712
"6","M",100,"A",NA,"UNION AVE & N TOWNSEND ST","Union Ave & North Townsend St","Page0019.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0019.tif","Page0019.tif",2011-01-13,"Union Ave & North Townsend St",NA,"Dig Gate Box","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0019.tif",NA,NA,0,-8476765.0401,5320531.1793,-76.1480759541186,43.0562078986172
"7","M",100,"A","L","1205 W FAYETTE ST","1205 West Fayette St","Page0021.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0021.tif","Page0021.tif",2011-01-14,"1205 West Fayette St","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0022.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0021.tif","012","2011",0,-8479826.176,5319087.8285,-76.1755746057759,43.0467332304331
"8","M",100,"A","L","1003 JAMESVILLE AVE","1003 Jamesville Ave","Page0023.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0023.tif","Page0023.tif",2011-01-14,"1003 Jamesville Ave","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0024.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0023.tif","013","2011",0,-8474632.4274,5314543.8284,-76.1289183682834,43.0168952398567
"9","M",100,"A",NA,"PALMER AVE & CHENEY ST","Palmer Ave & Cheney St","Page0027.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0027.tif","Page0027.tif",2011-01-14,"Palmer Ave & Cheney St",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0027.tif","014","2011",0,-8478343.6865,5316542.6572,-76.162257176012,43.0300222543868
"10","M",100,"A","R","2100 E FAYETTE ST","2100 East Fayette St","Page0031.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0031.tif","Page0031.tif",2011-01-16,"2100 East Fayette St",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0031.tif","016","2011",0,-8472936.4285,5319304.8795,-76.1136829509462,43.0481581239255
"11","M",100,"A","R","206 BUTTERNUT ST","206 Butternut St","Page0035.tif","S:\WORKSHEETS\01-11-2011_thru_01-17-2011","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0035.tif","Page0035.tif",2011-01-17,"206 Butternut St","S:\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0036.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-11-2011_thru_01-17-2011\Page0035.tif","018","2011",0,-8477194.7516,5320760.5106,-76.1519361182007,43.0577131761086
"12","M",100,"A","R","104 CROLY ST","104 Croly St","Page0003.tif","S:\WORKSHEETS\01-12-2011_thru_01-23-2011","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0003.tif","Page0003.tif",2011-01-23,"104 Croly St","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0004.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0003.tif","023","2011",0,-8472853.033,5319641.2958,-76.1129337964234,43.0503665597289
"13","M",100,"A","L","323 S SALINA ST","323 South Salina St","Page0007.tif","S:\WORKSHEETS\01-12-2011_thru_01-23-2011","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0007.tif","Page0007.tif",2011-01-21,"323 South Salina St",NA,"Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0007.tif",NA,NA,0,-8477219.3066,5319327.3462,-76.1521566995187,43.0483056111258
"14","M",92,"A","L","169 MARSHALL ST","169 Marshal St","Page0009.tif","S:\WORKSHEETS\01-12-2011_thru_01-23-2011","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0009.tif","Page0009.tif",2011-01-21,"169 Marshal St",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0009.tif","022","2011",0,-8475326.5206,5318316.1994,-76.1351535135851,43.0416673820757
"15","M",100,"A",NA,"E GENESEE ST & MAPLE ST","East Genesee St & Maple St","Page0015.tif","S:\WORKSHEETS\01-12-2011_thru_01-23-2011","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0015.tif","Page0015.tif",2011-01-18,"East Genesee St & Maple St","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0016.tif","Hydrant Replacement/Installation/Relocation","\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0015.tif",NA,NA,0,-8474261.0895,5319136.0192,-76.125582583172,43.0470495949525
"16","M",100,"A","R","204 E JEFFERSON ST","204 East Jefferson St","Page0019.tif","S:\WORKSHEETS\01-12-2011_thru_01-23-2011","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0019.tif","Page0019.tif",2011-01-18,"204 East Jefferson St","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0020.tif","Repair/Hook Up Service","\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0019.tif",NA,NA,0,-8477058.5246,5319128.2324,-76.1507123702386,43.0469984759209
"17","M",100,"A",NA,"E FAYETTE ST & ELLIS ST","East Fayette St & Ellis St","Page0021.tif","S:\WORKSHEETS\01-12-2011_thru_01-23-2011","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0021.tif","Page0021.tif",2011-01-19,"East Fayette St & Ellis St","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0022.tif","Valve Repair","\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0021.tif",NA,NA,0,-8472939.8158,5319313.2888,-76.1137133795798,43.0482133285192
